Transaction_ID,Transaction_Flag,Transaction_Date,Transaction_Type,Transaction_Amount,Bank_ID,CC_ID,Card_Type,Card_Holder,Channel_ID,Merchant_ID,Country_ID,City_ID,EDC_Type,EDC_Location,EDC_Owner,Average_Transaction_Amount,Maximum_Transaction_Amount,Minimum_Transaction_Amount,Average_Transaction_Frequency,Fraud_Status
TX00022,FALSE,2018-01-03 03:13:15,T08,625000,1,CCID2186,CC08,2,1,M0001,CTY06,CTY06-133,EDC1734,LEDC1090,OEDC0377,2376125.01,29533913,100000,1.97,0
TX00023,FALSE,2018-01-03 03:36:25,T15,1250000,1,CCID0157,CC11,2,1,M0001,CTY06,CTY06-133,EDC2440,LEDC1668,OEDC0377,580885.55,20000000,20000,4.22,0
TX00024,FALSE,2018-01-03 04:22:44,T01,50000,1,CCID1338,CC00,2,1,M0001,CTY06,CTY06-133,EDC3817,LEDC2712,OEDC0377,591410.52,2100000,50000,1.31,0
TX00026,FALSE,2018-01-03 06:09:16,T15,300000,1,CCID1459,CC11,2,1,M0001,CTY06,CTY06-023,EDC5325,LEDC3299,OEDC0377,1341592.17,9500000,100000,1.24,1
TX00027,FALSE,2018-01-03 06:09:16,T15,300000,1,CCID7521,CC12,2,1,M0001,CTY06,CTY06-133,EDC5334,LEDC3297,OEDC0377,1242579.83,46000000,29200,2.29,0
TX00028,FALSE,2018-01-03 06:18:32,T13,2500000,1,CCID3984,CC00,2,1,M0001,CTY06,CTY06-133,EDC3980,LEDC5485,OEDC0377,931744.64,5000000,39070,1.97,0
TX00030,FALSE,2018-01-03 17:46:22,T06,400000,1,CCID1948,CC11,1,5,M0001,CTY06,CTY06-149,EDC0002,LEDC0025,OEDC0026,819387.24,2500000,11000,3.16,0
TX00031,FALSE,2018-01-03 19:23:38,T08,125000,1,CCID8279,CC10,2,1,M0001,CTY06,CTY06-133,EDC0287,LEDC0878,OEDC0377,247179.54,1219000,26500,2.38,0
TX00032,FALSE,2018-01-04 02:11:14,T01,1250000,1,CCID5884,CC12,2,1,M0001,CTY06,CTY06-133,EDC4499,LEDC5732,OEDC0377,2073749.43,7040000,106300,3.62,0
TX00033,FALSE,2018-01-04 02:11:14,T01,500000,1,CCID1077,CC00,2,1,M0001,CTY06,CTY06-133,EDC4224,LEDC5662,OEDC0377,556074.18,2500000,200000,1.38,0
TX00034,FALSE,2018-01-04 02:11:14,T01,1250000,1,CCID8435,CC01,2,1,M0001,CTY06,CTY06-133,EDC4372,LEDC5684,OEDC0377,1356481.95,15000000,78648,4.52,0
TX00035,FALSE,2018-01-04 05:37:21,T01,50000,1,CCID3583,CC10,2,1,M0001,CTY06,CTY06-023,EDC2900,LEDC2103,OEDC0377,2070263.16,2500000,1000000,2.5,0
TX00036,FALSE,2018-01-04 10:24:32,T08,500000,1,CCID2943,CC04,2,1,M0001,CTY06,CTY06-004,EDC4285,LEDC2839,OEDC0377,931368.55,5500000,50000,2.07,0
TX00037,FALSE,2018-01-04 10:36:07,T01,900000,1,CCID4391,CC08,2,1,M0001,CTY06,CTY06-023,EDC1150,LEDC0400,OEDC0377,5990080.83,80000000,63000,2.72,0
TX00038,FALSE,2018-01-04 10:36:07,T06,2500000,1,CCID2026,CC08,1,5,M0001,CTY06,CTY06-194,EDC0002,LEDC0398,OEDC1306,2242151.19,25000000,100000,3.2,1
TX00040,FALSE,2018-01-05 08:26:56,T13,600000,1,CCID0625,CC11,2,1,M0001,CTY06,CTY06-023,EDC2728,LEDC3883,OEDC0377,678000.16,9000000,28000,2.14,0
TX00041,FALSE,2018-01-05 13:28:00,T01,800000,1,CCID0223,CC09,2,1,M0001,CTY06,CTY06-023,EDC1641,LEDC0903,OEDC0377,1021590.91,2500000,98000,2.12,0
TX00042,FALSE,2018-01-05 13:28:00,T15,1000000,1,CCID0483,CC08,2,1,M0001,CTY06,CTY06-133,EDC1672,LEDC1032,OEDC0377,2593883.75,30000000,140000,1.59,0
TX00044,FALSE,2018-01-05 14:00:26,T15,300000,1,CCID1226,CC11,2,1,M0001,CTY06,CTY06-083,EDC4171,LEDC2898,OEDC0377,988683.05,7000000,22000,2.11,0
TX00045,FALSE,2018-01-05 17:21:55,T01,1100000,1,CCID0590,CC00,2,1,M0001,CTY06,CTY06-171,EDC2768,LEDC2004,OEDC0377,1810119.05,6000000,63960,3.94,0
TX00046,FALSE,2018-01-05 17:21:55,T01,1250000,1,CCID2661,CC08,2,1,M0001,CTY06,CTY06-181,EDC2007,LEDC1389,OEDC0377,1570651.56,9785500,200000,2,0
TX00047,FALSE,2018-01-05 17:21:55,T15,1250000,1,CCID1003,CC05,2,1,M0001,CTY06,CTY06-181,EDC4803,LEDC3095,OEDC0377,1212500,2500000,100000,1.76,1
TX00049,FALSE,2018-01-05 18:12:52,T04,26500,1,CCID6297,CC09,2,1,M0001,CTY06,CTY06-023,EDC3845,LEDC2720,OEDC0377,493779.13,5000000,25000,1.51,0
TX00050,FALSE,2018-01-05 20:52:40,T01,1250000,1,CCID4957,CC00,2,1,M0001,CTY06,CTY06-023,EDC0817,LEDC3524,OEDC0377,990849.26,25000000,50000,1.56,1
TX00051,FALSE,2018-01-05 20:52:40,T01,2500000,1,CCID8070,CC08,2,1,M0001,CTY06,CTY06-096,EDC0646,LEDC3353,OEDC0377,2209542.79,13400000,50000,1.88,0
TX00053,FALSE,2018-01-06 00:00:15,T01,2000000,1,CCID0859,CC11,2,1,M0001,CTY06,CTY06-023,EDC0573,LEDC3119,OEDC0377,2004393.33,20000000,20000,3.38,0
TX00054,FALSE,2018-01-06 00:28:03,T02,150000,1,CCID3739,CC11,2,2,M0277,CTY06,CTY06-035,EDC5015,LEDC5018,OEDC1375,423416.67,2000000,20000,1.69,0
TX00055,FALSE,2018-01-06 00:28:03,T02,34100,1,CCID5609,CC08,2,2,M0517,CTY06,CTY06-023,EDC5322,LEDC5409,OEDC1391,1942032.96,10540000,100000,3.09,0
TX00056,FALSE,2018-01-06 01:39:51,T11,200000,1,CCID7321,CC11,2,2,M0268,CTY06,CTY06-181,EDC2386,LEDC4029,OEDC0291,816619.79,10000000,25000,1.73,0
TX00057,FALSE,2018-01-06 03:49:32,T02,1011085,1,CCID0799,CC00,2,2,M0988,CTY06,CTY06-023,EDC4352,LEDC4491,OEDC0183,1778680,17500000,50000,2.48,0
TX00058,FALSE,2018-01-06 03:49:32,T02,136501,1,CCID7545,CC03,2,2,M1089,CTY06,CTY06-133,EDC4835,LEDC4394,OEDC0198,230454.74,1089000,50000,1.52,0
TX00059,FALSE,2018-01-06 08:08:55,T15,100000,1,CCID0969,CC04,2,1,M0001,CTY06,CTY06-023,EDC3663,LEDC2729,OEDC0377,1347976.12,5000000,345143,2.13,0
TX00060,FALSE,2018-01-06 08:27:27,T01,1250000,1,CCID3439,CC08,2,1,M0001,CTY06,CTY06-181,EDC2894,LEDC2108,OEDC0377,2882339.4,18809861,100000,3.2,0
TX00061,FALSE,2018-01-06 08:27:27,T15,1500000,1,CCID1234,CC00,2,1,M0001,CTY06,CTY06-023,EDC0554,LEDC3204,OEDC0377,1178979.09,5500000,30000,4,0
TX00062,FALSE,2018-01-06 08:27:27,T01,1500000,1,CCID4492,CC03,2,1,M0001,CTY06,CTY06-186,EDC1238,LEDC0415,OEDC0377,855000,1250000,213800,3,0
TX00064,FALSE,2018-01-06 09:29:59,T08,100000,1,CCID4167,CC11,2,1,M0001,CTY06,CTY06-174,EDC4591,LEDC3027,OEDC0377,2013530.49,10000000,500000,1.83,0
TX00065,FALSE,2018-01-06 12:39:53,T01,2500000,1,CCID3540,CC08,2,1,M0001,CTY06,CTY06-023,EDC2097,LEDC1422,OEDC0377,1494509.11,25000000,20400,4.38,0
TX00066,FALSE,2018-01-06 12:39:53,T15,1250000,1,CCID7005,CC08,2,1,M0001,CTY06,CTY06-023,EDC2042,LEDC1414,OEDC0377,780391.38,3200000,50000,1.98,0
TX00068,FALSE,2018-01-06 13:28:31,T01,1250000,1,CCID5704,CC11,2,1,M0001,CTY06,CTY06-023,EDC2399,LEDC1669,OEDC0377,1022317.12,8000000,20000,2.07,0
TX00069,FALSE,2018-01-06 13:28:31,T01,2000000,1,CCID5943,CC11,2,1,M0001,CTY06,CTY06-023,EDC2172,LEDC1504,OEDC0377,1059490.61,2500000,70000,2.57,0
TX00070,FALSE,2018-01-06 20:04:33,T01,100000,1,CCID8474,CC00,2,1,M0001,CTY06,CTY06-181,EDC3984,LEDC5540,OEDC0377,280830.33,2450000,34420,2.22,0
TX00071,FALSE,2018-01-07 00:33:12,T14,1000000,1,CCID4347,CC11,2,1,M0001,CTY06,CTY06-023,EDC0253,LEDC0253,OEDC0377,1080980.61,2500000,400000,1.67,0
TX00072,FALSE,2018-01-07 00:33:12,T08,5000000,1,CCID6780,CC11,2,1,M0001,CTY06,CTY06-171,EDC1003,LEDC0222,OEDC0377,1767623.97,6000000,47500,2.15,0
TX00073,FALSE,2018-01-07 03:47:44,T15,1250000,1,CCID1010,CC11,2,1,M0001,CTY06,CTY06-023,EDC0416,LEDC2779,OEDC0377,1914436.71,19312500,100000,1.38,1
TX00074,FALSE,2018-01-07 07:18:29,T06,2500000,1,CCID7781,CC08,1,5,M0001,CTY06,CTY06-092,EDC0002,LEDC0597,OEDC1473,5532031.38,40000000,62769,3,1
TX00076,FALSE,2018-01-07 12:40:24,T02,720000,1,CCID6438,CC11,2,2,M0724,CTY06,CTY06-029,EDC3061,LEDC4864,OEDC1380,966666.67,2500000,70000,1.19,0
TX00077,FALSE,2018-01-07 12:40:24,T02,690000,1,CCID6315,CC09,2,2,M0879,CTY06,CTY06-023,EDC0964,LEDC5111,OEDC1376,1372581.92,10000000,25000,5.97,0
TX00078,FALSE,2018-01-07 12:40:24,T02,355200,1,CCID5856,CC09,2,2,M0100,CTY06,CTY06-023,EDC0945,LEDC5058,OEDC1436,794791.67,1250000,100000,3.5,0
TX00079,FALSE,2018-01-07 12:40:24,T02,134000,1,CCID5516,CC05,2,2,M0184,CTY06,CTY06-171,EDC3570,LEDC4934,OEDC1441,221338.45,1075000,26800,1.43,0
TX00080,FALSE,2018-01-07 14:26:56,T01,200000,1,CCID7773,CC09,2,1,M0001,CTY06,CTY06-186,EDC2409,LEDC1666,OEDC0377,950000,2500000,50000,1.9,0
TX00081,FALSE,2018-01-07 14:43:09,T13,1700000,1,CCID4516,CC11,2,1,M0001,CTY06,CTY06-128,EDC3031,LEDC3915,OEDC0377,1252365.91,3000000,166000,2.07,0
TX00082,FALSE,2018-01-07 15:29:28,T04,26500,1,CCID1870,CC11,2,1,M0001,CTY06,CTY06-023,EDC0980,LEDC0249,OEDC0377,1342663.89,10000000,24880,1.59,0
TX00083,FALSE,2018-01-07 16:29:41,T01,1000000,1,CCID7537,CC11,2,1,M0001,CTY06,CTY06-171,EDC4418,LEDC5677,OEDC0377,787099.22,4200000,25200,2.19,0
TX00084,FALSE,2018-01-07 18:18:32,T15,2500000,1,CCID5962,CC08,2,1,M0001,CTY06,CTY06-101,EDC1974,LEDC1338,OEDC0377,1534616.78,2500000,300000,2.73,0
TX00085,FALSE,2018-01-07 18:18:32,T01,2000000,1,CCID5249,CC08,2,1,M0001,CTY06,CTY06-087,EDC0301,LEDC2514,OEDC0377,1923545.38,13000000,77200,1.88,0
TX00086,FALSE,2018-01-07 18:18:32,T01,2500000,1,CCID8483,CC09,2,1,M0001,CTY06,CTY06-133,EDC1660,LEDC1032,OEDC0377,466909.21,2000000,25000,1.45,1
TX00088,FALSE,2018-01-07 18:39:22,T01,300000,1,CCID1888,CC00,2,1,M0001,CTY06,CTY06-181,EDC1766,LEDC1100,OEDC0377,527002.9,2500000,100000,1.2,0
TX00089,FALSE,2018-01-07 22:03:10,T14,200000,1,CCID0189,CC11,2,1,M0001,CTY06,CTY06-023,EDC3624,LEDC2619,OEDC0377,453054.96,1100000,50000,2.64,0
TX00090,FALSE,2018-01-07 22:03:10,T14,200000,1,CCID3802,CC11,2,1,M0001,CTY06,CTY06-023,EDC0768,LEDC3433,OEDC0377,805832.46,10000000,50000,2.25,0
TX00091,FALSE,2018-01-07 22:03:10,T15,200000,1,CCID0593,CC09,2,1,M0001,CTY06,CTY06-046,EDC3614,LEDC2689,OEDC0377,506275.52,1000000,50000,2.64,0
TX00092,FALSE,2018-01-08 00:15:11,T06,1935780,1,CCID8719,CC11,1,4,M0001,CTY06,CTY06-197,EDC0001,LEDC0064,OEDC0083,2047450.5,19150000,103300,1.33,0
TX00093,FALSE,2018-01-08 00:15:11,T13,2900000,1,CCID8141,CC11,2,1,M0001,CTY06,CTY06-181,EDC0692,LEDC3799,OEDC0377,2917987.39,19763000,50000,2.12,0
TX00095,FALSE,2018-01-08 03:13:31,T13,50000,1,CCID7132,CC11,2,1,M0001,CTY06,CTY06-173,EDC5327,LEDC5401,OEDC0377,530024.61,5877000,26500,2.26,0
TX00096,FALSE,2018-01-08 03:13:31,T04,26500,1,CCID7785,CC05,2,1,M0001,CTY06,CTY06-023,EDC5311,LEDC3285,OEDC0377,1912381,20000000,200000,2.11,0
TX00097,FALSE,2018-01-08 06:41:57,T01,200000,1,CCID5073,CC09,2,1,M0001,CTY06,CTY06-023,EDC2202,LEDC1477,OEDC0377,279593.59,2450000,27800,2.13,0
TX00098,FALSE,2018-01-08 10:17:20,T15,300000,1,CCID5894,CC11,2,1,M0001,CTY06,CTY06-004,EDC0111,LEDC1531,OEDC0377,1767623.97,10000000,300000,2.78,0
TX00099,FALSE,2018-01-08 10:26:35,T08,250000,1,CCID6975,CC09,2,1,M0001,CTY06,CTY06-186,EDC0505,LEDC3167,OEDC0377,763617.26,7000000,25000,1.79,0
TX00100,FALSE,2018-01-08 15:09:08,T13,28700,1,CCID1244,CC10,2,1,M0001,CTY06,CTY06-023,EDC4947,LEDC5375,OEDC0377,171052.63,450000,12000,1.46,1
TX00101,FALSE,2018-01-08 18:19:03,T15,500000,1,CCID4796,CC11,2,1,M0001,CTY06,CTY06-023,EDC3852,LEDC2720,OEDC0377,522467.03,3635753,18045,2.73,0
TX00102,FALSE,2018-01-09 02:41:36,T15,2000000,1,CCID0523,CC11,2,1,M0001,CTY06,CTY06-125,EDC3481,LEDC2448,OEDC0377,2986923.47,25000000,75000,1.69,0
TX00104,FALSE,2018-01-09 06:19:18,T02,15120000,1,CCID5422,CC08,2,2,M1090,CTY06,CTY06-129,EDC2084,LEDC4129,OEDC1429,2356360.72,98194000,60000,9.09,0
TX00105,FALSE,2018-01-09 14:39:33,T01,1250000,1,CCID0101,CC08,2,1,M0001,CTY06,CTY06-023,EDC3137,LEDC2275,OEDC0377,2008558.39,85000000,100000,2.85,0
TX00107,FALSE,2018-01-09 22:08:50,T11,500000,1,CCID1453,CC05,2,2,M0870,CTY06,CTY06-023,EDC5254,LEDC4288,OEDC1129,1157187.58,10000000,51200,2.47,0
TX00108,FALSE,2018-01-10 01:46:32,T01,200000,1,CCID2729,CC00,2,1,M0001,CTY06,CTY06-023,EDC5167,LEDC5647,OEDC0377,796108.97,2800000,26500,1.83,0
TX00109,FALSE,2018-01-17 02:38:46,T08,300000,1,CCID3350,CC10,2,1,M0001,CTY06,CTY06-181,EDC0459,LEDC3668,OEDC0377,232132.5,700000,99900,2.38,0
TX00110,FALSE,2018-01-17 02:38:46,T08,50000,1,CCID7651,CC10,2,1,M0001,CTY06,CTY06-056,EDC0395,LEDC2648,OEDC0377,177658.17,600000,20000,1.32,0
TX00111,FALSE,2018-01-17 02:38:46,T08,400000,1,CCID1986,CC11,2,1,M0001,CTY06,CTY06-089,EDC0335,LEDC3627,OEDC0377,569230.77,2500000,50000,3.08,0
TX00112,FALSE,2018-01-17 09:51:51,T13,5000000,1,CCID1048,CC08,2,1,M0001,CTY06,CTY06-023,EDC3388,LEDC3914,OEDC0377,1888782.9,11000000,30000,3.04,0
TX00114,FALSE,2018-01-17 10:38:10,T15,2000000,1,CCID0039,CC10,2,1,M0001,CTY06,CTY06-133,EDC1037,LEDC0281,OEDC0377,1185857.9,2500000,100000,1.84,0
TX00115,FALSE,2018-01-17 13:52:43,T13,100000,1,CCID5299,CC10,2,1,M0001,CTY06,CTY06-023,EDC4886,LEDC5516,OEDC0377,116480.53,2200000,15000,6.34,0
TX00116,FALSE,2018-01-17 14:41:21,T13,2700000,1,CCID4026,CC11,2,1,M0001,CTY06,CTY06-186,EDC4281,LEDC5653,OEDC0377,2889988.96,7328969,26500,2.57,0
TX00117,FALSE,2018-01-17 18:30:37,T15,2500000,1,CCID7060,CC00,2,1,M0001,CTY06,CTY06-046,EDC0745,LEDC3424,OEDC0377,2183545.8,10000000,99000,2,0
TX00118,FALSE,2018-01-17 19:05:22,T02,100000,1,CCID1822,CC11,2,2,M0538,CTY06,CTY06-058,EDC4870,LEDC5040,OEDC1450,1659222.77,20000000,48000,2.42,0
TX00119,FALSE,2018-01-17 23:22:26,T02,324000,1,CCID4762,CC11,2,2,M0275,CTY06,CTY06-133,EDC3732,LEDC4677,OEDC1125,1616842.57,10000000,21800,1.95,0
TX00120,FALSE,2018-01-18 01:52:58,T01,100000,1,CCID7760,CC09,2,1,M0001,CTY06,CTY06-023,EDC4147,LEDC2882,OEDC0377,641423.59,2500000,65000,1.15,0
TX00121,FALSE,2018-01-18 12:53:01,T01,500000,1,CCID7832,CC11,2,1,M0001,CTY06,CTY06-023,EDC0259,LEDC0240,OEDC0377,522727.27,2500000,200000,1.43,0
TX00123,FALSE,2018-01-18 14:39:33,T01,100000,1,CCID6924,CC00,2,1,M0001,CTY06,CTY06-023,EDC1017,LEDC0244,OEDC0377,831000,4000000,59400,1.6,0
TX00124,FALSE,2018-01-18 14:39:33,T01,250000,1,CCID4733,CC09,2,1,M0001,CTY06,CTY06-004,EDC1105,LEDC0306,OEDC0377,538785.12,2500000,100000,1.36,0
TX00125,FALSE,2018-01-18 20:31:34,T02,500000,1,CCID8707,CC10,2,2,M0216,CTY06,CTY06-171,EDC2983,LEDC4859,OEDC1292,262205.14,2200000,50000,1.32,0
TX00126,FALSE,2018-01-19 01:55:48,T13,3700000,1,CCID5746,CC11,2,1,M0001,CTY06,CTY06-023,EDC3807,LEDC5339,OEDC0377,1757067.97,2500000,50000,1.91,0
TX00127,FALSE,2018-01-19 01:55:48,T13,2500000,1,CCID6781,CC11,2,1,M0001,CTY06,CTY06-023,EDC4536,LEDC5804,OEDC0377,1769056.6,7500000,47500,2.64,0
TX00128,FALSE,2018-01-19 04:30:58,T15,1000000,1,CCID0291,CC11,2,1,M0001,CTY06,CTY06-099,EDC3233,LEDC2450,OEDC0377,2509497.9,20000000,25000,3.71,0
TX00129,FALSE,2018-01-19 04:30:58,T01,700000,1,CCID0518,CC10,2,1,M0001,CTY06,CTY06-174,EDC2521,LEDC1776,OEDC0377,770133.33,2500000,200000,1.62,0
TX00130,FALSE,2018-01-19 09:01:56,T08,103000,1,CCID1697,CC10,2,1,M0001,CTY06,CTY06-023,EDC0022,LEDC2198,OEDC0377,268240.96,900000,93600,1.95,0
TX00131,FALSE,2018-01-19 09:01:56,T06,100000,1,CCID0882,CC10,1,5,M0001,CTY06,CTY06-005,EDC0002,LEDC5225,OEDC1220,193098.21,1000000,10000,1.78,0
TX00132,FALSE,2018-01-19 09:01:56,T06,200000,1,CCID2386,CC09,1,5,M0001,CTY06,CTY06-171,EDC0002,LEDC3713,OEDC1009,579214.58,2800000,51980,1.46,1
TX00133,FALSE,2018-01-19 16:15:01,T06,1250000,1,CCID1036,CC00,1,5,M0001,CTY06,CTY06-180,EDC0002,LEDC0120,OEDC0012,617093.61,1250000,55500,2,1
TX00134,FALSE,2018-01-19 16:15:01,T15,1250000,1,CCID0253,CC00,2,1,M0001,CTY06,CTY06-181,EDC0982,LEDC0214,OEDC0377,617093.61,1250000,100000,1.67,0
TX00135,FALSE,2018-01-19 17:56:55,T13,1150000,1,CCID8780,CC09,2,1,M0001,CTY06,CTY06-112,EDC3031,LEDC3906,OEDC0377,1372581.92,25000000,25000,2.26,0
TX00136,FALSE,2018-01-19 17:56:55,T13,1000000,1,CCID6546,CC11,2,1,M0001,CTY06,CTY06-023,EDC3785,LEDC3925,OEDC0377,372661.35,2500000,29000,1.75,0
TX00137,FALSE,2018-01-19 17:56:55,T02,1000000,1,CCID6957,CC09,2,2,M1113,CTY06,CTY06-023,EDC4702,LEDC5038,OEDC1269,907081.44,23000000,101500,5.01,0
TX00138,FALSE,2018-01-19 20:06:36,T15,1250000,1,CCID6846,CC09,2,1,M0001,CTY06,CTY06-023,EDC2922,LEDC2190,OEDC0377,1403125,5038738,50000,3,0
TX00139,FALSE,2018-01-20 04:15:16,T08,68000,1,CCID7303,CC10,2,1,M0001,CTY06,CTY06-046,EDC5099,LEDC3198,OEDC0377,719310.25,2500000,25000,1.79,0
TX00140,FALSE,2018-01-20 04:15:16,T13,200000,1,CCID5269,CC10,2,1,M0001,CTY06,CTY06-186,EDC4826,LEDC5276,OEDC0377,237345,4700000,30000,1.56,0
TX00141,FALSE,2018-01-20 11:46:53,T15,2000000,1,CCID1442,CC11,2,1,M0001,CTY06,CTY06-151,EDC2416,LEDC1676,OEDC0377,872761.9,2500000,25000,3,0
TX00142,FALSE,2018-01-20 11:46:53,T15,500000,1,CCID0163,CC11,2,1,M0001,CTY06,CTY06-151,EDC1403,LEDC0677,OEDC0377,580885.55,20000000,18500,2.93,0
TX00143,FALSE,2018-01-20 11:46:53,T15,2500000,1,CCID7805,CC11,2,1,M0001,CTY06,CTY06-151,EDC2654,LEDC1930,OEDC0377,1935407.45,9900000,93300,1.89,0
TX00144,FALSE,2018-01-20 12:49:24,T01,200000,1,CCID5922,CC11,2,1,M0001,CTY06,CTY06-023,EDC2402,LEDC1672,OEDC0377,809398.23,2500000,35200,3.16,0
TX00148,FALSE,2018-01-21 00:33:27,T15,100000,1,CCID4320,CC01,2,1,M0001,CTY06,CTY06-101,EDC3416,LEDC2406,OEDC0377,347822.94,2000000,12000,1.87,0
TX00149,FALSE,2018-01-21 02:59:21,T06,1000000,1,CCID5613,CC08,1,5,M0001,CTY06,CTY06-176,EDC0002,LEDC5234,OEDC1053,1104676.75,13104000,30000,1.3,0
TX00150,FALSE,2018-01-21 02:59:21,T06,1000000,1,CCID4753,CC08,1,5,M0001,CTY06,CTY06-181,EDC0002,LEDC5183,OEDC0952,1256712.69,7786432,50000,2.82,0
TX00151,FALSE,2018-01-21 02:59:21,T06,1000000,1,CCID7251,CC08,1,3,M0001,CTY13,CTY13-003,EDC0002,LEDC4002,OEDC0441,683065.22,8000000,20300,7.21,0
TX00152,FALSE,2018-01-21 12:19:49,T13,4900000,1,CCID4369,CC10,2,1,M0001,CTY06,CTY06-005,EDC3800,LEDC3934,OEDC0377,859125.89,19000000,20000,1.48,0
TX00153,FALSE,2018-01-21 12:19:49,T13,1300000,1,CCID7956,CC03,2,1,M0001,CTY06,CTY06-023,EDC5107,LEDC5416,OEDC0377,6828647.77,50000000,148792,3.68,0
TX00154,FALSE,2018-01-21 14:45:43,T13,50000,1,CCID7953,CC11,2,1,M0001,CTY06,CTY06-023,EDC1702,LEDC3777,OEDC0377,661855.03,3450000,20500,1.92,0
TX00155,FALSE,2018-01-22 03:18:24,T01,800000,1,CCID3712,CC09,2,1,M0001,CTY06,CTY06-023,EDC3101,LEDC2274,OEDC0377,614880.65,2445100,24000,1.85,0
TX00157,FALSE,2018-01-22 07:19:15,T01,300000,1,CCID1337,CC11,2,1,M0001,CTY06,CTY06-129,EDC0081,LEDC1701,OEDC0377,988683.05,5000000,32000,1.65,0
TX00158,FALSE,2018-01-22 07:19:15,T08,200000,1,CCID3031,CC11,2,1,M0001,CTY06,CTY06-133,EDC0078,LEDC1701,OEDC0377,857803.65,2800000,34500,2.71,0
TX00160,FALSE,2018-01-22 07:40:06,T02,1144712,1,CCID2918,CC11,2,2,M0250,CTY06,CTY06-112,EDC2098,LEDC5093,OEDC1383,1022317.12,10000000,20000,2.19,0
TX00161,FALSE,2018-01-22 10:36:07,T13,500000,1,CCID6528,CC11,2,1,M0001,CTY06,CTY06-023,EDC4950,LEDC5436,OEDC0377,692437.6,2500000,162909,1.15,0
TX00162,FALSE,2018-01-23 05:21:40,T06,300000,1,CCID7764,CC09,1,5,M0001,CTY06,CTY06-023,EDC0002,LEDC3989,OEDC1305,966666.67,2500000,100000,3,0
